osm_id,name,latitude,longitude,locality,lga_name,abs_lga_code,vicmap_lga_code,regional_group,area_type,category,subcategory,display_name,osm_tag_type,osm_tag_value,addr_housenumber,addr_street,osm_addr_suburb,addr_postcode,operator,brand,phone,website,opening_hours,wheelchair
w218973073,Airly Primary School,-38.0258666,147.1132732,AIRLY,WELLINGTON,26810,370,Gippsland,rural_council,education,school,School,amenity,school,226,Airly Estate Road,,,Victorian Department of Education,,+61 3 5149 8251,http://www.airlyps.vic.edu.au/,,
a18440027,Lake Albacutya Park,-35.7476259,141.9681676,ALBACUTYA,HINDMARSH,22980,330,Wimmera Southern Mallee,rural_council,recreation,nature_reserve,Nature Reserve,leisure,nature_reserve,,,,,Parks Victoria,,,,,
a437947972,Alberton Primary School,-38.6180841,146.6667143,ALBERTON,WELLINGTON,26810,370,Gippsland,rural_council,education,school,School,amenity,school,21,Thomson Street,,,Victorian Department of Education,,+61 3 5183 2412,https://www.albertonps.vic.edu.au/,,
w218973986,Alberton Primary School,-38.6180841,146.6667142,ALBERTON,WELLINGTON,26810,370,Gippsland,rural_council,education,school,School,amenity,school,21,Thomson Street,,,Victorian Department of Education,,+61 3 5183 2412,https://www.albertonps.vic.edu.au/,,
n12880938578,Alberton,-38.6143762,146.6667699,ALBERTON,WELLINGTON,26810,370,Gippsland,rural_council,public_transport,bus_stop,Bus Stop,highway,bus_stop,,,,,,,,,,
n12880938579,Alberton,-38.6144473,146.6669511,ALBERTON,WELLINGTON,26810,370,Gippsland,rural_council,public_transport,bus_stop,Bus Stop,highway,bus_stop,,,,,VLine,,,,,
a2783169144,Jack Crew Memorial Picnic Area (Albert River Reserve),-38.6229825,146.6602037,ALBERTON,WELLINGTON,26810,370,Gippsland,rural_council,recreation,park,Park,leisure,park,,,,,,,,,,
w1391584572,Jack Crew Memorial Picnic Area (Albert River Reserve),-38.6227758,146.6608098,ALBERTON,WELLINGTON,26810,370,Gippsland,rural_council,recreation,park,Park,leisure,park,,,,,,,,,,
n2825681745,Alberton Store,-38.6145495,146.6670885,ALBERTON,WELLINGTON,26810,370,Gippsland,rural_council,shopping,convenience_store,Convenience Store,shop,convenience,,,,,,,,,,
a3041287830,Alexandra Shire Hall,-37.1909903,145.7097826,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,community,community_centre,Community Centre,amenity,community_centre,,,,,,,,https://www.murrindindi.vic.gov.au/Services/Venues-Parks-and-Facilities/Venues-for-Hire/Alexandra-Shire-Hall,,
w1520643915,Alexandra Shire Hall,-37.1910186,145.7097488,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,community,community_centre,Community Centre,amenity,community_centre,,,,,,,,https://www.murrindindi.vic.gov.au/Services/Venues-Parks-and-Facilities/Venues-for-Hire/Alexandra-Shire-Hall,,
n708307018,Alexandra Library,-37.1907425,145.7093648,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,community,library,Library,amenity,library,49,Grant Street,,,,,+61 3 5772 0349,,,
a3041287828,Murrindindi Shire Council,-37.1907217,145.7104471,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,community,town_hall,Town Hall,amenity,townhall,,,,,,,,,,
w1520643914,Murrindindi Shire Council,-37.1907197,145.7104141,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,community,town_hall,Town Hall,amenity,townhall,,,,,,,,,,
a112268108,Alexandra Secondary College,-37.1941803,145.7025346,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,education,school,School,amenity,school,86A,Downey Street,,,Victorian Department of Education,,,,,
a112380132,Alexandra Primary School,-37.1923752,145.7125415,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,education,school,School,amenity,school,15,Webster Street,,,Victorian Department of Education,,+61 3 5772 1006,https://www.alexandraprimaryschool.com/,,
a112380202,St Mary's Primary School,-37.1914191,145.7130502,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,education,school,School,amenity,school,10,Myrtle Street,,,Melbourne Archdiocese Catholic Schools,,+61 3 5772 1500,https://www.smalexandra.catholic.edu.au/,,
w56134054,Alexandra Secondary College,-37.1943811,145.7025055,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,education,school,School,amenity,school,86A,Downey Street,,,Victorian Department of Education,,,,,
w56190066,Alexandra Primary School,-37.1922981,145.7126898,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,education,school,School,amenity,school,15,Webster Street,,,Victorian Department of Education,,+61 3 5772 1006,https://www.alexandraprimaryschool.com/,,
w56190101,St Mary's Primary School,-37.1914793,145.712783,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,education,school,School,amenity,school,10,Myrtle Street,,,Melbourne Archdiocese Catholic Schools,,+61 3 5772 1500,https://www.smalexandra.catholic.edu.au/,,
a112382530,Alexandra District Health,-37.1951667,145.7166907,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,healthcare,hospital,Hospital,amenity,hospital,12,Cooper Street,Alexandra,3714,,,,http://www.alexandrahospital.org.au/,,
w56191265,Alexandra District Health,-37.1950442,145.7167418,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,healthcare,hospital,Hospital,amenity,hospital,12,Cooper Street,Alexandra,3714,,,,http://www.alexandrahospital.org.au/,,
n12415495667,Alexandra Community Pharmacy,-37.1929047,145.7104462,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,healthcare,pharmacy,Pharmacy,amenity,pharmacy,101,Grant Street,,,,,+61 3 5772 2153,https://alexandrapharmacy.com.au/,Mo-Fr 09:00-17:30; Sa 09:00-12:30; Su closed,
n12730116839,Perkins Street/Grant Street,-37.1909024,145.7090628,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,public_transport,bus_stop,Bus Stop,highway,bus_stop,,,,,,,,,,
n12730153945,Bayley St/Nihil St,-37.1936029,145.7097078,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,public_transport,bus_stop,Bus Stop,highway,bus_stop,,,,,,,,,,
n13903377025,Bayley St/Nihil St,-37.1936458,145.709723,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,public_transport,stop_position,Public Transport Stop Position,public_transport,stop_position,,,,,,,,,,
a113443480,Jack Shiel Gardens,-37.1900052,145.7103727,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,recreation,garden,Garden,leisure,garden,,,,,,,,,,
w56721740,Jack Shiel Gardens,-37.1900955,145.7103314,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,recreation,garden,Garden,leisure,garden,,,,,,,,,,
a1332782278,Alexandra G55 Bushland Reserve,-37.1685446,145.6874026,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,recreation,nature_reserve,Nature Reserve,leisure,nature_reserve,,,,,Parks Victoria,,,,,
a1332782334,Alexandra G56 Bushland Reserve,-37.206181,145.7214224,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,recreation,nature_reserve,Nature Reserve,leisure,nature_reserve,,,,,"Victorian Department of Energy, Environment and Climate Action",,,,,
a1332792052,McKenzie Nature Conservation Reserve,-37.206724,145.7146221,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,recreation,nature_reserve,Nature Reserve,leisure,nature_reserve,,,,,Parks Victoria,,,,,
w666391139,Alexandra G55 Bushland Reserve,-37.167901,145.6871541,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,recreation,nature_reserve,Nature Reserve,leisure,nature_reserve,,,,,Parks Victoria,,,,,
w666391167,Alexandra G56 Bushland Reserve,-37.2059704,145.7212678,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,recreation,nature_reserve,Nature Reserve,leisure,nature_reserve,,,,,"Victorian Department of Energy, Environment and Climate Action",,,,,
w666396026,McKenzie Nature Conservation Reserve,-37.2074257,145.7153798,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,recreation,nature_reserve,Nature Reserve,leisure,nature_reserve,,,,,Parks Victoria,,,,,
a113443354,Leckie Park,-37.1881416,145.7134045,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,recreation,park,Park,leisure,park,,,,,,,,,,
w56721677,Leckie Park,-37.1883239,145.7127076,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,recreation,park,Park,leisure,park,,,,,,,,,,
a2785790266,,-37.1830321,145.7313153,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,recreation,playground,Playground,leisure,playground,,,,,Alexandra and District Speedway Club Inc.,,,,"""Race meetings only""",
n10553881990,,-37.1882845,145.7111165,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,recreation,playground,Playground,leisure,playground,,,,,,,,,,
n709479343,,-37.1884096,145.7109733,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,recreation,playground,Playground,leisure,playground,,,,,,,,,,
w1392895133,,-37.1830321,145.7313153,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,recreation,playground,Playground,leisure,playground,,,,,Alexandra and District Speedway Club Inc.,,,,"""Race meetings only""",
a2197406832,Alexandra & District Speedway Inc.,-37.1831095,145.7308492,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,recreation,sports_centre,Sports Centre,leisure,sports_centre,,,,,,,,,,
a2197408338,,-37.1933691,145.7006427,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,recreation,sports_centre,Sports Centre,leisure,sports_centre,,,,,,,,,,
a3041272276,Alexandra Outdoor Swimming Pool,-37.1887038,145.7129863,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,recreation,sports_centre,Sports Centre,leisure,sports_centre,,,,,,,,,,
w1098704169,,-37.1934032,145.7006359,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,recreation,sports_centre,Sports Centre,leisure,sports_centre,,,,,,,,,,
w1520636138,Alexandra Outdoor Swimming Pool,-37.188688,145.7129604,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,recreation,sports_centre,Sports Centre,leisure,sports_centre,,,,,,,,,,
n2275169343,Foodworks,-37.193075,145.7099701,ALEXANDRA,MURRINDINDI,25620,355,Goulburn,rural_council,shopping,supermarket,Supermarket,shop,supermarket,102,Grant Street,,,,Foodworks,+61 3 5772 1615,https://alexandrafoodworks.myfoodworks.com.au/,Mo-Su 08:00-20:00,
a2918333298,,-37.5648195,143.7946797,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,community,community_centre,Community Centre,amenity,community_centre,,,,,,,,,,
a832880368,1st Alfredton Scout Hall,-37.5567165,143.8134756,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,community,community_centre,Community Centre,amenity,community_centre,27A,Arthur Street,Alfredton,3350,,,,,,
w1459166649,,-37.5648166,143.7946591,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,community,community_centre,Community Centre,amenity,community_centre,,,,,,,,,,
w416440184,1st Alfredton Scout Hall,-37.5567165,143.8134756,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,community,community_centre,Community Centre,amenity,community_centre,27A,Arthur Street,Alfredton,3350,,,,,,
a2561576700,Alfredton Uniting Kindergarten,-37.5523594,143.8064536,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,education,kindergarten,Kindergarten,amenity,kindergarten,,,,,,,,,,
a255966866,St Thomas More Catholic Primary School,-37.552702,143.799998,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,education,school,School,amenity,school,98-100,Cuthberts Road,,,Diocese of Ballarat Catholic Education Limited,,,,,
a570012548,Alfredton Primary School,-37.5551346,143.8015159,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,education,school,School,amenity,school,89A,Cuthberts Road,,,Victorian Department of Education,,,,,
w127983433,St Thomas More Catholic Primary School,-37.5526009,143.7999589,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,education,school,School,amenity,school,98-100,Cuthberts Road,,,Diocese of Ballarat Catholic Education Limited,,,,,
w285006274,Alfredton Primary School,-37.5551387,143.8015889,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,education,school,School,amenity,school,89A,Cuthberts Road,,,Victorian Department of Education,,,,,
n4857721821,Chemist Warehouse,-37.555545,143.817684,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,healthcare,pharmacy,Pharmacy,amenity,pharmacy,1609,Sturt Street,,,,Chemist Warehouse,+61 3 5342 9257,,Mo-Fr 08:30-21:00; Sa 08:30-17:00; Su 10:00-17:00,yes
n13754413735,Ballarat HS/Sturt St,-37.5554775,143.8180923,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,public_transport,bus_stop,Bus Stop,highway,bus_stop,,,,,,,,,,
n13754413736,Munro St/Sturt St,-37.5541731,143.8149681,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,public_transport,bus_stop,Bus Stop,highway,bus_stop,,,,,,,,,,
n13754413737,Ningana St/Sturt St,-37.5515436,143.8084765,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,public_transport,bus_stop,Bus Stop,highway,bus_stop,,,,,,,,,,
n13754413738,Kallioota St/Sturt St,-37.5497908,143.8042684,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,public_transport,bus_stop,Bus Stop,highway,bus_stop,,,,,,,,,,
n13754413739,Warwick Rd/Sturt St,-37.5490893,143.8026404,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,public_transport,bus_stop,Bus Stop,highway,bus_stop,,,,,,,,,,
n13754413740,The Avenue Motel/Sturt St,-37.5485459,143.8013627,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,public_transport,bus_stop,Bus Stop,highway,bus_stop,,,,,,,,,,
n13754413741,Ranger Barracks/Sturt St,-37.5468071,143.7972195,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,public_transport,bus_stop,Bus Stop,highway,bus_stop,,,,,,,,,,
n13754413742,Elaine Ave/Sturt St,-37.5456678,143.7945404,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,public_transport,bus_stop,Bus Stop,highway,bus_stop,,,,,,,,,,
n13754413743,Northam Way/Sturt St,-37.5440599,143.790698,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,public_transport,bus_stop,Bus Stop,highway,bus_stop,,,,,,,,,,
n13754413744,Dyson Dr/Sturt St,-37.5429309,143.7880141,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,public_transport,bus_stop,Bus Stop,highway,bus_stop,,,,,,,,,,
a2369572922,,-37.5490868,143.8094373,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,garden,Garden,leisure,garden,,,,,,,,,,
a2369572924,,-37.5491559,143.8097651,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,garden,Garden,leisure,garden,,,,,,,,,,
a2369572926,,-37.5495846,143.8100435,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,garden,Garden,leisure,garden,,,,,,,,,,
a2370975158,,-37.5482481,143.8094531,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,garden,Garden,leisure,garden,,,,,,,,,,
a2560875090,,-37.5473233,143.8061385,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,garden,Garden,leisure,garden,,,,,,,,,,
a2560875092,,-37.5476802,143.8060546,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,garden,Garden,leisure,garden,,,,,,,,,,
a2560875094,,-37.547918,143.8060284,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,garden,Garden,leisure,garden,,,,,,,,,,
a2560875096,,-37.5482603,143.8058743,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,garden,Garden,leisure,garden,,,,,,,,,,
a2560875098,,-37.5482881,143.8057596,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,garden,Garden,leisure,garden,,,,,,,,,,
a2560875100,,-37.5481851,143.8057957,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,garden,Garden,leisure,garden,,,,,,,,,,
a2560875102,,-37.5489214,143.805677,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,garden,Garden,leisure,garden,,,,,,,,,,
a2560875104,,-37.5488864,143.8055944,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,garden,Garden,leisure,garden,,,,,,,,,,
a2560875106,,-37.5488012,143.8057771,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,garden,Garden,leisure,garden,,,,,,,,,,
a2560875108,,-37.5488273,143.8056121,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,garden,Garden,leisure,garden,,,,,,,,,,
a2560875110,,-37.5486271,143.8057337,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,garden,Garden,leisure,garden,,,,,,,,,,
a2560875112,,-37.5486161,143.8058357,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,garden,Garden,leisure,garden,,,,,,,,,,
w1184786461,,-37.5491127,143.8094007,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,garden,Garden,leisure,garden,,,,,,,,,,
w1184786462,,-37.5491613,143.8097654,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,garden,Garden,leisure,garden,,,,,,,,,,
w1184786463,,-37.5495665,143.8100404,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,garden,Garden,leisure,garden,,,,,,,,,,
w1185487579,,-37.5482998,143.8094438,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,garden,Garden,leisure,garden,,,,,,,,,,
a1017407922,Djila-tjarriu Reserve,-37.5641236,143.7964981,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,park,Park,leisure,park,,,,,,,,,,
a1017441324,,-37.5683238,143.7994959,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,park,Park,leisure,park,,,,,,,,,,
a1329073120,Robertson Place Reserve,-37.5607746,143.8086217,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,park,Park,leisure,park,,,,,,,,,,
a1858219064,,-37.5567644,143.7929251,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,park,Park,leisure,park,,,,,,,,,,
a2298169652,Karingga Park,-37.5630216,143.7885783,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,park,Park,leisure,park,40A,Vetrano Avenue,,,,,,,,
a2369176576,,-37.5484686,143.809932,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,park,Park,leisure,park,,,,,,,,,,
a255901962,Warrick Park Reserve,-37.5506948,143.8025269,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,park,Park,leisure,park,,,,,,,,,,
a255902360,Elaine Avenue Reserve,-37.5495051,143.7955041,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,park,Park,leisure,park,,,,,,,,,,
a255902362,Horsham Crescent Reserve,-37.5512698,143.7969166,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,park,Park,leisure,park,,,,,,,,,,
a255902364,Cuthberts Road Reserve,-37.5511944,143.7910561,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,park,Park,leisure,park,,,,,,,,,,
a255902686,Argyle Crescent Reserve,-37.5519452,143.7881903,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,park,Park,leisure,park,,,,,,,,,,
a255903558,Dyson Drive Reserve,-37.545256,143.7870946,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,park,Park,leisure,park,,,,,,,,,,
a255905496,Hume Crescent Reserve,-37.5548646,143.8044589,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,park,Park,leisure,park,,,,,,,,,,
a2560875114,,-37.5493052,143.8055023,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,park,Park,leisure,park,,,,,,,,,,
a256456076,Vale Street Reserve,-37.5577625,143.8156118,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,park,Park,leisure,park,,,,,,,,,,
a256457574,,-37.5536862,143.8129149,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,park,Park,leisure,park,,,,,,,,,,
a256457858,Victory Avenue Reserve,-37.5529208,143.8089333,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,park,Park,leisure,park,,,,,,,,,,
a2578038190,,-37.5601435,143.7909926,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,park,Park,leisure,park,,,,,,,,,,
a2902575306,,-37.5667884,143.7855624,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,park,Park,leisure,park,,,,,,,,,,
a2902575308,,-37.5669463,143.7869372,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,park,Park,leisure,park,,,,,,,,,,
a2902575310,,-37.5670497,143.7876469,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,park,Park,leisure,park,,,,,,,,,,
a2902575312,,-37.5670668,143.7880461,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,park,Park,leisure,park,,,,,,,,,,
a2902575314,,-37.5672179,143.789139,ALFREDTON,BALLARAT,20570,302,Central Highlands,regional_city,recreation,park,Park,leisure,park,,,,,,,,,,
